tempavg,lightavg,humidityavg
10.6,2.6,47.2
11.6,9.4,51.4
10.6,8,49.9
12.3,5.1,50.7
10.6,7.5,50.2
12.3,19.6,53.7
10.6,10.9,47.3
11.3,19.5,52.4
10.6,22,49.6
12.3,11.4,52.2
10.6,24.8,50.7
12.3,48.3,53.3
10.6,32.6,47
11.6,42.5,52.4
11.6,29,42.1
11.9,61.8,48.1
10.3,42,50.7
11.9,25.1,55.4
11,46.3,49.2
12.3,70.5,55.7
10.6,54.3,47.7
11.6,62.8,52.6
11.9,77.4,48.5
10.3,57.7,50.7
11.9,38.7,53.8
10.6,61.8,50.3
11.9,81.1,53.7
10.6,67.9,47.7
11.6,74.7,51.3
11.6,84.6,48.5
10.6,69.1,49.9
11.9,50.8,54.8
10.6,72.1,50.2
12.3,86.2,54.6
10.6,75.4,47.3
11.3,64.9,43.6
11.9,88.3,48.3
10.6,75.5,50.5
11.9,58.9,53.8
10.6,78,50.5
12.3,89.1,54.3
10.3,79.8,48.1
12.3,70.2,53.2
11,81.4,49.9
12.3,90.5,53.8
10.6,82.1,47.7
11.9,91.4,48.1
11,81.6,49.6
11.9,68.1,52.9
11,83.9,49.4
12.3,91.4,52.9
10.6,83.7,48.1
11.6,76,43.3
11.9,92.1,48.1
11,83.9,50
12.3,71,51.4
11.3,86.6,49.6
12.3,92,51.9
11,85,46.7
11.9,78.4,42.5
11.3,85.4,48.6
12.6,74.6,53.2
11.6,90.7,48.8
12.6,92.5,53.2
11.3,86.1,46.2
16.5,93.2,43.9
11.9,80.4,42.8
12.9,89.4,45.9
12.6,75.9,51.3
11.9,92.4,48.1
12.6,92.8,51.4
11.3,86.4,46.4
12.3,82.1,41
15.5,92.2,43.1
13.2,78.4,50.2
12.3,93.2,46.4
12.9,93.1,51.4
11.3,87.1,45.8
18.1,95,40.7
12.6,84,40.9
12.6,93.4,46.1
16.8,93.9,40.6
13.9,81,49.1
12.9,93.8,45.8
12.9,93.2,51
11.6,87.8,44.7
12.6,86,41
12.6,93.5,46.7
17.7,94.3,37.6
13.9,81.4,50.5
13.2,94.2,44.8
13.2,93.4,51.3
11.9,88.2,44.8
17.7,95.1,38.2
13.2,93.6,46.1
16.8,94.2,37.4
13.9,81.8,48.1
15.5,94.6,42
13.9,93.5,47
12.3,88.7,42.9
13.5,89.4,38.4
13.5,93.7,45.1
14.8,93.8,41.2
14.2,82.9,45.8
19.7,96.2,35.2
13.9,93.7,47.7
12.6,89.2,42.1
13.9,90.5,36.6
14.5,93.5,39.5
14.8,84.1,45.9
14.8,95.2,38.8
14.2,93.8,47
12.9,89.9,41.4
18.7,94.9,38.2
14.5,91.1,37.4
13.9,94,43.9
15.8,93.3,37.9
15.2,86.3,42.9
14.8,96.1,40.7
14.5,93.9,44.5
13.5,91,41
14.5,91.9,32.5
14.2,94.3,42.5
15.2,93.2,38.4
15.5,88.5,41
16.5,95.7,37.1
14.8,94.2,44.8
13.5,91.5,38.8
15.2,92,34.6
15.8,89.4,41.4
16.5,95.7,34.1
14.8,94.3,44.5
14.5,92.5,38.5
20.3,95.3,34.3
15.2,92.3,33.5
15.8,93.1,39
16.5,90.9,42.1
16.8,96.3,36.2
15.2,94.7,43.7
14.5,93.3,37.3
15.2,92.6,31.6
14.8,95.3,37.4
15.5,92.9,37.1
16.8,91.3,40.4
16.5,95.7,35.8
15.2,95,41.2
15.5,93.9,36.3
16.1,93.9,36.6
14.8,95.7,37.1
15.5,93,36.3
17.1,91.6,38.4
15.8,95.7,35.2
15.8,95.7,40.9
18.7,94.4,33
15.8,93.2,31.3
15.5,92.8,37.4
17.1,91.6,39
15.8,96,35.7
16.5,96.3,40.3
17.4,94.8,34.4
16.1,93.5,38.5
15.8,93.4,32.1
16.1,96,36.5
15.8,93.2,36.6
17.4,92,37.9
16.8,97.6,33.5
18.7,95,31.6
16.1,93.6,29.7
15.8,93.3,33.9
17.7,92.4,36.9
19,97.5,29.2
16.8,96.6,36.9
20.3,95.7,31.4
15.8,93.7,29.7
16.5,96.3,33.8
15.5,88.6,35.2
17.4,92.4,36.8
16.8,97.5,32.1
16.8,96.9,38.5
19.4,96.2,31.6
16.8,94.1,29.7
16.5,96.4,34.7
15.8,93.1,35.5
18.4,93.2,36.9
20,98.2,31.6
17.1,97,37.7
20.3,96.5,31.3
16.8,94.1,29.8
18.1,93.5,35.2
22.3,98.2,28
17.4,97,37.7
21.3,96.8,30.8
16.5,94.4,29.1
17.1,96.6,33.9
15.8,93.8,33.3
18.1,93.5,33.5
22.6,98.3,27.5
17.7,97.1,36.2
22.6,97.1,31.9
16.8,94.4,28.4
17.7,97.3,33.2
16.8,94.5,33.5
18.7,93.9,35.1
22.6,98.3,25.9
17.7,97.5,37.3
22.3,97.1,28.9
16.5,94.8,28.6
21.6,97.9,31.1
17.1,95.2,33
18.7,94.5,34.9
22.6,98.2,26.9
20.6,97.6,28.3
22.3,97.1,29.2
17.7,95.8,30.5
19.7,94.8,31.6
19.4,98.1,27.2
21,97,26.1
18.1,95.1,24
19.7,96.4,26.1
19.7,94.4,28.7
20,98.1,25.4
20.6,97.7,29.4
21,97,27.3
19,95.4,23.2
21,97.9,27.3
19.4,96.6,27.5
21,93.8,30.2
21.6,98,25.4
21.3,97.7,30.2
22.9,97.1,28.3
19.4,95.7,23.4
19.7,96.7,29.1
20,95,32.1
20.6,98,26.9
20,97.8,29.5
21.9,97.2,26.1
19,95.9,21
18.7,97,26.5
20,93.2,29.8
21,97.9,23.4
21.3,97.8,26.4
22.3,97.2,25.3
21,97,26.5
19,96.1,20.2
21.6,98,25.4
18.4,97,25
19.7,93.1,27.6
21.6,97.9,23.2
19,96.8,29.2
22.6,97.3,25.7
18.1,95.7,21.8
19.7,97.1,29.1
18.7,97.3,26.4
20,89.7,30.2
21,94.9,23.4
18.4,94.2,28.3
21.6,98.1,25.7
18.4,97.3,26.1
19,93.7,28.3
20.6,94.9,24
19.4,96.9,27.3
20.6,97.2,26.2
18.4,96.3,20.4
17.7,97.2,24.8
20,93.6,27.3
20.3,97.1,23.9
20.6,97.7,28
21,97.2,25.6
19.4,96.3,19.3
19.7,97.3,24.5
20.6,93.7,28.6
19,97.1,24
21.9,97.6,22.8
19.7,97.2,23.4
19,96.3,18.8
19.4,97.3,25.9
20.6,93.8,27.3
20,97,24.5
21,97.7,25.1
19.7,97.2,25.7
19.7,96.5,20.7
19.7,96.2,26.9
20.6,93.7,26.2
21,97.4,24.8
21,97.7,29.5
21.6,97.4,27.2
21.6,98.1,24.8
20,93.6,27.5
20,96.6,24
19.7,97.5,26.5
21.3,97.3,26.2
18.7,96.4,20.7
20,97.4,24.8
21.3,93.6,27.8
19.7,97.2,24.3
20,97.7,29.7
22.6,97.3,29.1
20.6,97.4,25.6
22.3,93.9,31
20.6,97.3,26.4
20,97.6,31.9
21.3,97.4,29.4
19,96.3,21
21,93.9,29.4
20.3,97.2,25.6
21.6,97.3,26.1
19.7,95.8,21.8
21.6,98.1,27.2
19.7,97.3,27
21.9,93.9,28.6
20.6,97.2,26.9
20,97.4,32.1
21.6,97.3,28.4
21.3,98.1,28
20.3,97.3,26.9
22.6,94.5,29.8
21,97.2,26.2
19.7,97.6,31.3
21.3,97.3,27.6
19.4,94.9,23.1
